Unnamed: 0,Date,holiday
0,2018-07-27,Asalha Puja
1,2018-07-30,Beginning of Vassa
2,2018-08-13,Queen's Birthday
3,2018-10-15,H.M. King Bhumibol Adulyadej The Great Memorial Day
4,2018-10-23,Chulalongkorn Memorial Day
5,2018-12-05,Father's Day
6,2018-12-05,King's Birthday
7,2018-12-10,Constitution Day
8,2018-12-31,New Year's Eve
9,2019-01-01,New Year's Day
10,2019-02-19,Māgha Pūjā
11,2019-04-08,Chakri Memorial Day
12,2019-04-12,Songkran
13,2019-04-13,Songkran
14,2019-04-14,Family Day
15,2019-04-15,Songkran
16,2019-04-16,Songkran
17,2019-04-17,Songkran
18,2019-05-01,Labour Day
19,2019-05-04,Coronation of King Maha Vajiralongkorn
20,2019-05-05,Coronation of King Maha Vajiralongkorn
21,2019-05-06,Coronation of King Maha Vajiralongkorn
22,2019-05-06,Coronation Day
23,2019-05-09,Royal Ploughing Ceremony
24,2019-05-20,Vesak
25,2019-06-03,H.M Queen Suthida Bajrasudhabimalalakshana's Birthday
26,2019-07-16,Asalha Puja
27,2019-07-17,Beginning of Vassa
28,2019-08-12,Queen's Birthday
29,2019-10-14,H.M. King Bhumibol Adulyadej The Great Memorial Day
30,2019-10-23,Chulalongkorn Memorial Day
31,2019-11-04,ASEAN Summit Public Holiday
32,2019-11-05,ASEAN Summit Public Holiday
33,2019-12-05,Father's Day
34,2019-12-05,King's Birthday
35,2019-12-10,Constitution Day
36,2019-12-30,New Year's Eve
37,2019-12-31,New Year's Eve
